sale_id,creature_id,creature_name,category,danger_rating,rarity_rating,condition,year,week,seller_reputation,buyer_type,destination,quantity,price_per_unit,total_price
SALE-00458,CR004,Swamp Hornet,insect,4,1,partial,1850,1,0.713,scholar,Scholar Study,1,1.0,1.0
SALE-00992,CR003,Granite Wren,bird,1,2,damaged,1850,1,0.665,archivist,Capital Archives,1,15.8,15.8
SALE-01083,CR003,Granite Wren,bird,1,2,pristine,1850,1,0.707,archivist,Capital Archives,4,23.94,95.76
SALE-01584,CR010,Grimslew,mammal,7,7,partial,1850,1,0.759,collector,Senate Zoological,2,55.22,110.44
SALE-01720,CR012,Tunnel Eel,fish,3,4,damaged,1850,1,0.692,collector,Capital Archives,1,12.67,12.67
SALE-01935,CR002,Stone Spine Lizard,reptile,5,7,good,1850,1,0.656,display,Capital Display,1,462.44,462.44
SALE-00817,CR008,Wharver,mammal,8,6,fair,1850,2,0.464,unknown,Unknown,1,161.61,161.61
SALE-01910,CR012,Tunnel Eel,fish,3,4,damaged,1850,2,0.854,trader,Miasto Market,1,35.66,35.66
SALE-01913,CR001,Leatherback Burrower,bird,3,4,damaged,1850,2,0.744,unknown,Miasto Market,1,13.95,13.95
SALE-01986,CR008,Wharver,mammal,8,6,pristine,1850,2,0.92,scholar,Scholar Study,1,590.84,590.84
SALE-00041,CR013,Quarry Toad,amphibian,2,3,pristine,1850,3,0.686,scholar,Scholar Study,2,21.27,42.54
SALE-00400,CR006,Glass Beetle,insect,2,6,damaged,1850,3,0.359,display,Capital Display,1,36.46,36.46
SALE-00775,CR005,Marsh Stalker,reptile,6,5,good,1850,3,0.908,collector,Senate Zoological,1,302.88,302.88
SALE-01225,CR014,Densmuck Crawler,arthropod,4,5,pristine,1850,3,0.794,collector,Capital Display,2,65.95,131.9
SALE-01269,CR005,Marsh Stalker,reptile,6,5,good,1850,3,0.98,senator,Private Collection,1,72.4,72.4
SALE-01971,CR003,Granite Wren,bird,1,2,fair,1850,3,0.685,trader,Miasto Market,2,25.12,50.24
SALE-00852,CR001,Leatherback Burrower,bird,3,4,damaged,1850,4,0.492,unknown,Unknown,1,15.08,15.08
SALE-01054,CR006,Glass Beetle,insect,2,6,fair,1850,4,0.803,collector,Miasto Market,1,65.08,65.08
SALE-01728,CR011,Cave Moth,insect,0,2,fair,1850,4,0.861,collector,Miasto Market,1,7.33,7.33
SALE-00059,CR012,Tunnel Eel,fish,3,4,partial,1850,5,0.739,collector,Miasto Market,1,12.67,12.67
SALE-00178,CR012,Tunnel Eel,fish,3,4,damaged,1850,5,0.584,display,Capital Display,1,24.97,24.97
SALE-00605,CR014,Densmuck Crawler,arthropod,4,5,damaged,1850,5,0.505,unknown,Unknown,1,17.46,17.46
SALE-01473,CR007,Yeller Bird,bird,0,3,fair,1850,5,0.715,unknown,Miasto Market,2,42.49,84.98
SALE-00158,CR007,Yeller Bird,bird,0,3,fair,1850,7,0.603,trader,Miasto Market,2,30.82,61.64
SALE-00762,CR007,Yeller Bird,bird,0,3,damaged,1850,7,0.638,display,Capital Display,3,20.73,62.19
SALE-01296,CR003,Granite Wren,bird,1,2,good,1850,8,0.768,trader,Miasto Market,2,16.35,32.7
SALE-01561,CR004,Swamp Hornet,insect,4,1,fair,1850,8,0.657,collector,Private Collection,2,2.66,5.32
SALE-00015,CR004,Swamp Hornet,insect,4,1,good,1850,9,0.557,trader,Miasto Market,3,2.66,7.98
SALE-01484,CR005,Marsh Stalker,reptile,6,5,damaged,1850,9,0.738,display,Capital Display,1,58.31,58.31
SALE-00146,CR014,Densmuck Crawler,arthropod,4,5,good,1850,10,0.536,trader,Miasto Market,1,64.14,64.14
SALE-00357,CR014,Densmuck Crawler,arthropod,4,5,damaged,1850,10,0.516,archivist,Capital Archives,1,19.11,19.11
SALE-00945,CR007,Yeller Bird,bird,0,3,damaged,1850,10,0.761,scholar,Scholar Study,2,28.34,56.68
SALE-01005,CR007,Yeller Bird,bird,0,3,fair,1850,10,0.675,senator,Private Collection,5,20.4,102.0
SALE-01444,CR012,Tunnel Eel,fish,3,4,fair,1850,10,0.728,senator,Senate Zoological,1,35.07,35.07
SALE-01610,CR011,Cave Moth,insect,0,2,fair,1850,10,0.841,display,Capital Display,5,5.59,27.95
SALE-01424,CR004,Swamp Hornet,insect,4,1,fair,1850,11,0.72,unknown,Senate Zoological,1,3.32,3.32
SALE-01635,CR010,Grimslew,mammal,7,7,fair,1850,11,0.897,collector,Senate Zoological,1,91.81,91.81
SALE-00187,CR009,Stakdur,reptile,9,8,partial,1850,12,0.909,display,Capital Display,1,105.19,105.19
SALE-01560,CR001,Leatherback Burrower,bird,3,4,pristine,1850,12,0.859,archivist,Capital Archives,1,74.89,74.89
SALE-00385,CR002,Stone Spine Lizard,reptile,5,7,fair,1850,13,0.91,archivist,Capital Archives,2,242.12,484.24
SALE-00603,CR013,Quarry Toad,amphibian,2,3,damaged,1850,13,0.555,display,Capital Display,4,4.33,17.32
SALE-00722,CR008,Wharver,mammal,8,6,fair,1850,13,0.772,unknown,Capital Display,1,275.42,275.42
SALE-00946,CR003,Granite Wren,bird,1,2,good,1850,13,0.893,archivist,Capital Archives,2,20.24,40.48
SALE-01602,CR005,Marsh Stalker,reptile,6,5,good,1850,13,0.763,display,Capital Display,1,147.51,147.51
SALE-01770,CR008,Wharver,mammal,8,6,damaged,1850,13,0.418,collector,Capital Display,1,83.86,83.86
SALE-00394,CR011,Cave Moth,insect,0,2,partial,1850,14,0.652,senator,Senate Zoological,2,2.37,4.74
SALE-00966,CR001,Leatherback Burrower,bird,3,4,fair,1850,14,0.719,senator,Senate Zoological,1,53.37,53.37
SALE-01152,CR001,Leatherback Burrower,bird,3,4,good,1850,14,0.765,archivist,Capital Archives,1,64.28,64.28
SALE-01552,CR012,Tunnel Eel,fish,3,4,damaged,1850,14,0.901,unknown,Senate Zoological,1,30.37,30.37
SALE-00460,CR007,Yeller Bird,bird,0,3,partial,1850,15,0.908,trader,Miasto Market,1,4.45,4.45
SALE-01395,CR011,Cave Moth,insect,0,2,fair,1850,15,0.558,trader,Miasto Market,1,8.1,8.1
SALE-01563,CR009,Stakdur,reptile,9,8,good,1850,15,0.477,scholar,Scholar Study,2,1240.41,2480.82
SALE-00240,CR002,Stone Spine Lizard,reptile,5,7,fair,1850,16,0.449,senator,Private Collection,1,490.69,490.69
SALE-00382,CR004,Swamp Hornet,insect,4,1,damaged,1850,16,0.728,trader,Miasto Market,1,2.36,2.36
SALE-00393,CR014,Densmuck Crawler,arthropod,4,5,fair,1850,16,0.952,collector,Miasto Market,2,68.08,136.16
SALE-00228,CR014,Densmuck Crawler,arthropod,4,5,damaged,1850,17,0.937,display,Capital Display,1,36.95,36.95
SALE-00243,CR005,Marsh Stalker,reptile,6,5,good,1850,17,0.72,scholar,Scholar Study,1,136.1,136.1
SALE-00569,CR007,Yeller Bird,bird,0,3,damaged,1850,17,0.958,trader,Miasto Market,4,25.96,103.84
SALE-00694,CR007,Yeller Bird,bird,0,3,damaged,1850,17,0.544,archivist,Capital Archives,3,33.72,101.16
SALE-00811,CR003,Granite Wren,bird,1,2,damaged,1850,17,0.676,archivist,Capital Archives,1,13.18,13.18
SALE-01985,CR008,Wharver,mammal,8,6,damaged,1850,18,0.805,archivist,Capital Archives,1,93.79,93.79
SALE-00810,CR009,Stakdur,reptile,9,8,good,1850,19,0.408,unknown,Scholar Study,2,688.85,1377.7
SALE-01506,CR003,Granite Wren,bird,1,2,good,1850,19,0.898,collector,Senate Zoological,3,26.21,78.63
SALE-01733,CR005,Marsh Stalker,reptile,6,5,fair,1850,19,0.695,unknown,Unknown,2,112.28,224.56
SALE-00203,CR007,Yeller Bird,bird,0,3,pristine,1850,20,0.876,collector,Capital Archives,2,106.62,213.24
SALE-00295,CR005,Marsh Stalker,reptile,6,5,good,1850,20,0.911,scholar,Scholar Study,2,84.35,168.7
SALE-00840,CR002,Stone Spine Lizard,reptile,5,7,damaged,1850,20,0.95,scholar,Scholar Study,1,284.63,284.63
SALE-00363,CR007,Yeller Bird,bird,0,3,fair,1850,21,0.565,trader,Miasto Market,2,26.45,52.9
SALE-00413,CR004,Swamp Hornet,insect,4,1,good,1850,21,0.812,trader,Miasto Market,1,2.57,2.57
SALE-00531,CR014,Densmuck Crawler,arthropod,4,5,damaged,1850,21,0.814,scholar,Scholar Study,2,38.21,76.42
SALE-00837,CR003,Granite Wren,bird,1,2,fair,1850,21,0.982,display,Capital Display,2,17.67,35.34
SALE-01001,CR013,Quarry Toad,amphibian,2,3,good,1850,21,0.996,senator,Senate Zoological,3,28.4,85.2
SALE-01278,CR003,Granite Wren,bird,1,2,damaged,1850,21,0.593,unknown,Unknown,2,9.99,19.98
SALE-01307,CR008,Wharver,mammal,8,6,good,1850,21,0.785,collector,Capital Display,1,193.11,193.11
SALE-01566,CR006,Glass Beetle,insect,2,6,fair,1850,21,0.754,archivist,Capital Archives,1,116.27,116.27
SALE-00987,CR008,Wharver,mammal,8,6,good,1850,22,0.818,collector,Miasto Market,1,254.11,254.11
SALE-01456,CR014,Densmuck Crawler,arthropod,4,5,damaged,1850,22,0.611,collector,Capital Archives,1,41.42,41.42
SALE-01809,CR011,Cave Moth,insect,0,2,fair,1850,22,0.783,scholar,Scholar Study,5,12.14,60.7
SALE-00457,CR010,Grimslew,mammal,7,7,good,1850,23,0.509,collector,Miasto Market,1,520.89,520.89
SALE-01211,CR013,Quarry Toad,amphibian,2,3,fair,1850,23,0.872,trader,Miasto Market,2,16.44,32.88
SALE-01251,CR007,Yeller Bird,bird,0,3,good,1850,23,0.948,archivist,Capital Archives,2,48.7,97.4
SALE-00018,CR013,Quarry Toad,amphibian,2,3,partial,1850,24,0.632,scholar,Scholar Study,2,6.41,12.82
SALE-00196,CR005,Marsh Stalker,reptile,6,5,good,1850,24,0.816,trader,Miasto Market,1,136.92,136.92
SALE-00424,CR003,Granite Wren,bird,1,2,damaged,1850,24,0.76,unknown,Unknown,2,6.66,13.32
SALE-00459,CR003,Granite Wren,bird,1,2,damaged,1850,24,0.649,scholar,Scholar Study,4,5.28,21.12
SALE-00906,CR003,Granite Wren,bird,1,2,good,1850,24,0.32,collector,Senate Zoological,1,16.16,16.16
SALE-00831,CR004,Swamp Hornet,insect,4,1,fair,1850,25,0.447,trader,Miasto Market,1,2.07,2.07
SALE-01521,CR003,Granite Wren,bird,1,2,partial,1850,25,0.56,unknown,Private Collection,1,5.04,5.04
SALE-01904,CR013,Quarry Toad,amphibian,2,3,good,1850,25,0.61,collector,Scholar Study,2,23.08,46.16
SALE-00647,CR002,Stone Spine Lizard,reptile,5,7,fair,1850,26,0.713,scholar,Scholar Study,1,191.4,191.4
SALE-00665,CR008,Wharver,mammal,8,6,fair,1850,26,0.46,display,Capital Display,1,144.09,144.09
SALE-00735,CR007,Yeller Bird,bird,0,3,good,1850,27,0.568,display,Capital Display,3,39.64,118.92
SALE-01189,CR006,Glass Beetle,insect,2,6,partial,1850,27,0.853,unknown,Capital Display,1,19.42,19.42
SALE-01849,CR014,Densmuck Crawler,arthropod,4,5,damaged,1850,27,0.673,archivist,Capital Archives,1,12.52,12.52
SALE-00702,CR006,Glass Beetle,insect,2,6,partial,1850,28,0.613,trader,Miasto Market,1,9.76,9.76
SALE-00857,CR008,Wharver,mammal,8,6,good,1850,28,0.748,display,Capital Display,1,118.33,118.33
SALE-01242,CR004,Swamp Hornet,insect,4,1,damaged,1850,29,0.712,unknown,Private Collection,2,1.43,2.86
SALE-00263,CR001,Leatherback Burrower,bird,3,4,good,1850,30,0.865,senator,Senate Zoological,1,34.97,34.97
SALE-01483,CR001,Leatherback Burrower,bird,3,4,good,1850,30,0.677,collector,Capital Archives,1,21.4,21.4
SALE-00611,CR004,Swamp Hornet,insect,4,1,fair,1850,31,0.531,display,Capital Display,2,2.57,5.14
SALE-01320,CR011,Cave Moth,insect,0,2,partial,1850,31,0.458,trader,Miasto Market,2,1.53,3.06
SALE-01134,CR008,Wharver,mammal,8,6,good,1850,32,0.607,senator,Senate Zoological,1,383.27,383.27
SALE-01150,CR001,Leatherback Burrower,bird,3,4,fair,1850,32,0.855,trader,Miasto Market,1,39.68,39.68
SALE-01185,CR014,Densmuck Crawler,arthropod,4,5,damaged,1850,32,0.795,trader,Miasto Market,2,19.22,38.44
SALE-01824,CR011,Cave Moth,insect,0,2,fair,1850,32,0.956,collector,Unknown,1,10.88,10.88
SALE-01962,CR006,Glass Beetle,insect,2,6,pristine,1850,32,0.934,archivist,Capital Archives,1,116.21,116.21
SALE-00329,CR007,Yeller Bird,bird,0,3,good,1850,33,0.703,unknown,Private Collection,1,40.19,40.19
SALE-00488,CR012,Tunnel Eel,fish,3,4,partial,1850,33,0.694,archivist,Capital Archives,1,4.55,4.55
SALE-01491,CR004,Swamp Hornet,insect,4,1,fair,1850,33,0.711,scholar,Scholar Study,2,2.55,5.1
SALE-00904,CR003,Granite Wren,bird,1,2,pristine,1850,34,0.631,unknown,Unknown,1,19.4,19.4
SALE-00962,CR013,Quarry Toad,amphibian,2,3,fair,1850,34,0.766,scholar,Scholar Study,5,15.83,79.15
SALE-01172,CR012,Tunnel Eel,fish,3,4,damaged,1850,34,0.741,senator,Private Collection,1,20.14,20.14
SALE-01370,CR002,Stone Spine Lizard,reptile,5,7,pristine,1850,35,0.758,archivist,Capital Archives,1,296.77,296.77
SALE-01740,CR011,Cave Moth,insect,0,2,good,1850,35,0.834,unknown,Private Collection,3,9.0,27.0
SALE-00601,CR003,Granite Wren,bird,1,2,fair,1850,36,0.568,scholar,Scholar Study,1,15.09,15.09
SALE-01727,CR006,Glass Beetle,insect,2,6,damaged,1850,36,0.664,senator,Senate Zoological,1,42.2,42.2
SALE-00077,CR010,Grimslew,mammal,7,7,damaged,1850,37,0.747,unknown,Miasto Market,1,116.9,116.9
SALE-00202,CR008,Wharver,mammal,8,6,good,1850,37,0.686,display,Capital Display,1,514.14,514.14
SALE-00616,CR014,Densmuck Crawler,arthropod,4,5,fair,1850,37,0.819,trader,Miasto Market,1,55.44,55.44
SALE-00197,CR013,Quarry Toad,amphibian,2,3,fair,1850,38,0.918,scholar,Scholar Study,5,12.14,60.7
SALE-00698,CR006,Glass Beetle,insect,2,6,good,1850,38,0.778,display,Capital Display,1,27.79,27.79
SALE-00838,CR003,Granite Wren,bird,1,2,good,1850,38,0.93,senator,Senate Zoological,2,24.9,49.8
SALE-00180,CR012,Tunnel Eel,fish,3,4,pristine,1850,39,0.759,unknown,Senate Zoological,1,24.28,24.28
SALE-00489,CR008,Wharver,mammal,8,6,fair,1850,39,0.575,trader,Miasto Market,2,356.59,713.18
SALE-00190,CR006,Glass Beetle,insect,2,6,fair,1850,40,0.908,trader,Miasto Market,2,79.78,159.56
SALE-00221,CR003,Granite Wren,bird,1,2,damaged,1850,40,0.822,collector,Miasto Market,2,7.04,14.08
SALE-00308,CR001,Leatherback Burrower,bird,3,4,fair,1850,40,0.617,scholar,Scholar Study,1,29.74,29.74
SALE-00802,CR008,Wharver,mammal,8,6,fair,1850,40,0.897,trader,Miasto Market,1,147.95,147.95
SALE-01098,CR002,Stone Spine Lizard,reptile,5,7,partial,1850,40,0.744,display,Capital Display,1,37.96,37.96
SALE-00442,CR015,Golden Amalgam Snail,mollusk,0,9,damaged,1850,41,0.698,senator,Private Collection,2,1033.45,2066.9
SALE-00638,CR004,Swamp Hornet,insect,4,1,pristine,1850,41,0.729,trader,Miasto Market,1,3.87,3.87
SALE-00884,CR001,Leatherback Burrower,bird,3,4,good,1850,41,0.441,display,Capital Display,1,29.11,29.11
SALE-00367,CR003,Granite Wren,bird,1,2,good,1850,42,0.483,scholar,Scholar Study,2,16.66,33.32
SALE-01213,CR010,Grimslew,mammal,7,7,damaged,1850,42,0.838,trader,Miasto Market,1,358.72,358.72
SALE-01445,CR010,Grimslew,mammal,7,7,fair,1850,42,0.546,unknown,Capital Display,1,129.86,129.86
SALE-01654,CR011,Cave Moth,insect,0,2,partial,1850,42,0.748,senator,Senate Zoological,5,1.17,5.85
SALE-00230,CR005,Marsh Stalker,reptile,6,5,partial,1850,43,0.85,senator,Senate Zoological,1,38.85,38.85
SALE-00456,CR013,Quarry Toad,amphibian,2,3,damaged,1850,43,0.85,trader,Miasto Market,1,7.92,7.92
SALE-01726,CR014,Densmuck Crawler,arthropod,4,5,damaged,1850,43,0.771,senator,Senate Zoological,1,38.98,38.98
SALE-00467,CR013,Quarry Toad,amphibian,2,3,partial,1850,44,0.692,display,Capital Display,4,4.12,16.48
SALE-01482,CR013,Quarry Toad,amphibian,2,3,fair,1850,44,0.733,display,Capital Display,2,20.47,40.94
SALE-00070,CR005,Marsh Stalker,reptile,6,5,damaged,1850,45,0.762,display,Capital Display,1,126.65,126.65
SALE-00080,CR003,Granite Wren,bird,1,2,fair,1850,45,0.863,senator,Senate Zoological,2,10.46,20.92
SALE-00445,CR013,Quarry Toad,amphibian,2,3,damaged,1850,45,0.633,display,Capital Display,2,9.08,18.16
SALE-00719,CR006,Glass Beetle,insect,2,6,pristine,1850,45,0.651,collector,Unknown,1,121.21,121.21
SALE-00738,CR012,Tunnel Eel,fish,3,4,good,1850,45,0.507,trader,Miasto Market,1,44.19,44.19
SALE-00833,CR014,Densmuck Crawler,arthropod,4,5,damaged,1850,45,0.797,display,Capital Display,1,47.35,47.35
SALE-01379,CR010,Grimslew,mammal,7,7,fair,1850,45,0.322,scholar,Scholar Study,1,102.68,102.68
SALE-00959,CR002,Stone Spine Lizard,reptile,5,7,good,1850,46,0.847,senator,Private Collection,1,218.24,218.24
SALE-01428,CR001,Leatherback Burrower,bird,3,4,damaged,1850,47,0.328,archivist,Capital Archives,1,12.05,12.05
SALE-00008,CR005,Marsh Stalker,reptile,6,5,fair,1850,48,0.619,trader,Miasto Market,1,151.37,151.37
SALE-01284,CR003,Granite Wren,bird,1,2,good,1850,48,0.642,archivist,Capital Archives,2,16.01,32.02
SALE-01146,CR014,Densmuck Crawler,arthropod,4,5,fair,1850,49,0.752,unknown,Capital Archives,1,138.82,138.82
SALE-00234,CR013,Quarry Toad,amphibian,2,3,damaged,1850,50,0.868,scholar,Scholar Study,1,13.12,13.12
SALE-00247,CR006,Glass Beetle,insect,2,6,fair,1850,50,0.757,trader,Miasto Market,1,121.76,121.76
SALE-00998,CR012,Tunnel Eel,fish,3,4,good,1850,50,0.618,scholar,Scholar Study,2,20.61,41.22
SALE-01575,CR007,Yeller Bird,bird,0,3,damaged,1850,50,0.638,collector,Capital Display,3,40.98,122.94
SALE-01034,CR011,Cave Moth,insect,0,2,fair,1850,51,0.751,senator,Private Collection,3,11.33,33.99
