observation_id,date,year,month,season,location_x,location_y,true_stability,observed_stability,measurement_error,observer_id,observer_name,observer_experience,instrument_type,weather_conditions,days_since_last_survey,drift_detected,drift_direction,drift_magnitude_m,confidence_rating,notes
OBS0001,1845-01-10,1845,1,winter,35.62,44.77,0.115,0.128,0.0131,MAP004,The Pickbox Man,35,theodolite,clear,365,False,none,0.0,0.94,"Ground feels unsafe, densmuck visible"
OBS0002,1845-01-19,1845,1,winter,74.44,39.52,0.888,0.874,-0.0148,MAP011,Old Tunney,40,theodolite,clear,365,False,none,0.0,0.89,"Solid ground, safe for building"
OBS0003,1845-02-17,1845,2,winter,60.0,56.82,0.0,0.017,0.0171,MAP003,Corra Venst,15,theodolite,fog,365,False,none,0.0,0.27,"Ground feels unsafe, densmuck visible; visibility poor"
OBS0004,1845-02-06,1845,2,winter,57.3,30.44,0.157,0.152,-0.0048,MAP012,Grit-Eye Salla,10,measuring_rod,clear,365,False,none,0.0,0.63,"Ground feels unsafe, densmuck visible"
OBS0005,1845-03-26,1845,3,spring,39.81,73.67,0.807,0.658,-0.1495,MAP003,Corra Venst,15,theodolite,fog,365,False,none,0.0,0.16,Mostly firm ground with soft patches; visibility poor
OBS0006,1845-04-22,1845,4,spring,60.8,35.25,0.18,0.177,-0.0031,MAP011,Old Tunney,40,theodolite,clear,365,False,none,0.0,0.94,"Ground feels unsafe, densmuck visible"
OBS0007,1845-05-15,1845,5,spring,74.6,39.51,0.916,0.885,-0.0311,MAP003,Corra Venst,15,theodolite,clear,120,True,E,1.4,0.64,"Solid ground, safe for building; boundary appears to have shifted since last survey"
OBS0008,1845-05-22,1845,5,spring,73.17,52.31,0.44,0.428,-0.0122,MAP004,The Pickbox Man,35,theodolite,clear,365,False,none,0.0,0.86,"Transition zone, patchy stability"
OBS0009,1845-05-13,1845,5,spring,74.13,58.15,0.645,0.949,0.3035,MAP001,Ferrick Mol,22,theodolite,fog,365,False,none,0.0,0.29,"Solid ground, safe for building; visibility poor; conditions made precise measurement difficult"
OBS0010,1845-05-12,1845,5,spring,65.48,32.78,0.729,0.799,0.0703,MAP015,Missus Hollow,28,theodolite,rain,365,False,none,0.0,0.46,Mostly firm ground with soft patches; rain affecting measurements
OBS0011,1845-05-08,1845,5,spring,50.87,22.18,0.763,0.968,0.2047,MAP012,Grit-Eye Salla,10,measuring_rod,rain,365,False,none,0.0,0.36,"Solid ground, safe for building; rain affecting measurements"
OBS0012,1845-05-23,1845,5,spring,45.7,19.19,1.0,1.0,0.0,MAP004,The Pickbox Man,35,theodolite,clear,365,False,none,0.0,0.83,"Solid ground, safe for building"
OBS0013,1845-06-11,1845,6,summer,58.67,74.99,0.788,0.758,-0.0303,MAP004,The Pickbox Man,35,theodolite,clear,365,False,none,0.0,0.92,Mostly firm ground with soft patches
OBS0014,1845-07-23,1845,7,summer,52.84,84.21,1.0,1.0,0.0,MAP011,Old Tunney,40,theodolite,clear,365,False,none,0.0,0.82,"Solid ground, safe for building"
OBS0015,1845-07-17,1845,7,summer,38.53,68.47,0.499,0.479,-0.0201,MAP011,Old Tunney,40,theodolite,overcast,365,False,none,0.0,0.68,"Transition zone, patchy stability"
OBS0016,1845-07-28,1845,7,summer,38.44,68.43,0.495,0.483,-0.012,MAP004,The Pickbox Man,35,theodolite,clear,0,False,none,0.0,0.9,"Transition zone, patchy stability"
OBS0017,1845-07-20,1845,7,summer,32.76,39.14,0.405,0.413,0.0085,MAP009,Marga Denside,18,theodolite,clear,365,False,none,0.0,0.64,"Transition zone, patchy stability"
OBS0018,1845-08-06,1845,8,summer,14.88,56.27,1.0,1.0,0.0,MAP015,Missus Hollow,28,theodolite,overcast,365,False,none,0.0,0.65,"Solid ground, safe for building"
OBS0019,1845-08-06,1845,8,summer,58.68,69.29,0.336,0.356,0.0192,MAP006,Drogan Pol,5,pacing,rain,365,False,none,0.0,0.25,"Soft ground, footprints sink deep; rain affecting measurements"
OBS0020,1845-08-04,1845,8,summer,66.78,41.49,0.445,0.452,0.0062,MAP015,Missus Hollow,28,theodolite,clear,365,False,none,0.0,0.82,"Transition zone, patchy stability"
OBS0021,1845-08-03,1845,8,summer,42.82,89.54,1.0,0.898,-0.1018,MAP005,Ulla Grent,8,measuring_rod,overcast,365,False,none,0.0,0.42,"Solid ground, safe for building"
OBS0022,1845-09-17,1845,9,autumn,22.68,51.73,0.878,0.875,-0.0035,MAP011,Old Tunney,40,theodolite,overcast,365,False,none,0.0,0.77,"Solid ground, safe for building"
OBS0023,1845-09-11,1845,9,autumn,76.22,66.36,1.0,1.0,0.0,MAP015,Missus Hollow,28,theodolite,clear,365,False,none,0.0,0.83,"Solid ground, safe for building"
OBS0024,1845-09-01,1845,9,autumn,32.15,22.54,1.0,0.973,-0.0267,MAP001,Ferrick Mol,22,theodolite,clear,365,False,none,0.0,0.67,"Solid ground, safe for building"
OBS0025,1845-10-28,1845,10,autumn,31.54,70.46,0.739,0.704,-0.0352,MAP004,The Pickbox Man,35,theodolite,clear,365,False,none,0.0,0.93,Mostly firm ground with soft patches
OBS0026,1845-10-16,1845,10,autumn,50.89,22.03,0.748,0.798,0.0503,MAP004,The Pickbox Man,35,theodolite,clear,150,False,none,0.0,0.78,Mostly firm ground with soft patches
OBS0027,1845-10-24,1845,10,autumn,45.87,70.98,0.645,0.303,-0.3421,MAP010,Pennick Harvor,7,measuring_rod,fog,365,False,none,0.0,0.24,"Soft ground, footprints sink deep; visibility poor"
OBS0028,1845-11-05,1845,11,autumn,26.57,47.17,0.707,0.745,0.0381,MAP010,Pennick Harvor,7,measuring_rod,clear,365,False,none,0.0,0.67,Mostly firm ground with soft patches
OBS0029,1845-11-09,1845,11,autumn,24.28,38.3,0.896,0.831,-0.0648,MAP011,Old Tunney,40,theodolite,rain,365,False,none,0.0,0.47,"Solid ground, safe for building; rain affecting measurements"
OBS0030,1845-11-03,1845,11,autumn,67.85,52.67,0.093,0.0,-0.0933,MAP004,The Pickbox Man,35,theodolite,rain,365,False,none,0.0,0.46,"Ground feels unsafe, densmuck visible; rain affecting measurements"
OBS0031,1845-11-15,1845,11,autumn,50.99,22.28,0.703,0.626,-0.0773,MAP009,Marga Denside,18,theodolite,rain,30,True,N,2.2,0.36,Mostly firm ground with soft patches; rain affecting measurements; boundary appears to have shifted since last survey
OBS0032,1845-12-23,1845,12,winter,42.38,40.03,0.0,0.0,0.0,MAP004,The Pickbox Man,35,theodolite,overcast,365,False,none,0.0,0.78,"Ground feels unsafe, densmuck visible"
OBS0033,1845-12-11,1845,12,winter,30.99,29.65,0.856,0.598,-0.2584,MAP007,Sister Kalma,12,theodolite,fog,365,False,none,0.0,0.24,"Transition zone, patchy stability; visibility poor"
OBS0034,1845-12-24,1845,12,winter,51.88,22.16,0.7,0.65,-0.0503,MAP003,Corra Venst,15,theodolite,clear,365,False,none,0.0,0.67,Mostly firm ground with soft patches
OBS0035,1845-12-22,1845,12,winter,76.25,66.41,0.924,0.909,-0.0141,MAP011,Old Tunney,40,theodolite,clear,90,True,W,3.8,0.86,"Solid ground, safe for building; boundary appears to have shifted since last survey"
OBS0036,1845-12-27,1845,12,winter,38.23,79.47,1.0,0.928,-0.0723,MAP005,Ulla Grent,8,measuring_rod,rain,365,False,none,0.0,0.28,"Solid ground, safe for building; rain affecting measurements"
OBS0037,1845-12-17,1845,12,winter,52.65,83.95,1.0,0.988,-0.0121,MAP011,Old Tunney,40,theodolite,overcast,150,False,none,0.0,0.7,"Solid ground, safe for building"
OBS0038,1845-12-14,1845,12,winter,58.8,74.87,0.734,0.815,0.0809,MAP009,Marga Denside,18,theodolite,fog,180,True,S,2.7,0.23,"Solid ground, safe for building; visibility poor; boundary appears to have shifted since last survey"
OBS0039,1845-12-11,1845,12,winter,71.12,34.08,0.909,0.949,0.0396,MAP003,Corra Venst,15,theodolite,clear,365,False,none,0.0,0.67,"Solid ground, safe for building"
OBS0040,1846-01-22,1846,1,winter,42.06,65.29,0.18,0.212,0.0317,MAP011,Old Tunney,40,theodolite,clear,365,False,none,0.0,0.91,"Soft ground, footprints sink deep"
OBS0041,1846-01-18,1846,1,winter,31.6,75.4,1.0,1.0,0.0,MAP004,The Pickbox Man,35,theodolite,clear,365,False,none,0.0,0.78,"Solid ground, safe for building"
OBS0042,1846-02-27,1846,2,winter,62.07,77.01,0.852,0.876,0.0242,MAP005,Ulla Grent,8,measuring_rod,clear,365,False,none,0.0,0.62,"Solid ground, safe for building"
OBS0043,1846-02-16,1846,2,winter,75.81,30.1,1.0,0.979,-0.0206,MAP015,Missus Hollow,28,theodolite,clear,365,False,none,0.0,0.72,"Solid ground, safe for building"
OBS0044,1846-03-25,1846,3,spring,38.76,68.45,0.37,0.541,0.171,MAP001,Ferrick Mol,22,theodolite,fog,245,True,S,6.3,0.28,"Transition zone, patchy stability; visibility poor; boundary appears to have shifted since last survey; conditions made precise measurement difficult"
OBS0045,1846-04-06,1846,4,spring,58.7,74.69,0.667,0.678,0.0109,MAP009,Marga Denside,18,theodolite,clear,125,True,S,3.4,0.63,Mostly firm ground with soft patches; boundary appears to have shifted since last survey
OBS0046,1846-04-05,1846,4,spring,62.01,36.14,0.23,0.204,-0.0261,MAP004,The Pickbox Man,35,theodolite,overcast,365,False,none,0.0,0.6,"Soft ground, footprints sink deep"
OBS0047,1846-04-06,1846,4,spring,63.97,47.29,0.0,0.0,0.0,MAP011,Old Tunney,40,theodolite,clear,365,False,none,0.0,0.85,"Ground feels unsafe, densmuck visible"
OBS0048,1846-04-11,1846,4,spring,74.57,39.59,0.863,1.0,0.1368,MAP013,Karvo the Silent,6,pacing,overcast,335,True,W,2.6,0.46,"Solid ground, safe for building; boundary appears to have shifted since last survey"
OBS0049,1846-05-19,1846,5,spring,39.36,70.99,0.71,0.688,-0.0212,MAP011,Old Tunney,40,theodolite,rain,365,False,none,0.0,0.52,Mostly firm ground with soft patches; rain affecting measurements
OBS0050,1846-05-14,1846,5,spring,32.56,38.97,0.414,0.405,-0.0083,MAP015,Missus Hollow,28,theodolite,clear,305,False,none,0.0,0.85,"Transition zone, patchy stability"
OBS0051,1846-06-20,1846,6,summer,65.38,43.77,0.249,0.19,-0.0591,MAP015,Missus Hollow,28,theodolite,overcast,365,False,none,0.0,0.71,"Ground feels unsafe, densmuck visible"
OBS0052,1846-06-01,1846,6,summer,33.89,37.19,0.391,0.422,0.031,MAP011,Old Tunney,40,theodolite,overcast,365,False,none,0.0,0.79,"Transition zone, patchy stability"
OBS0053,1846-06-05,1846,6,summer,74.28,55.73,0.568,0.61,0.0429,MAP015,Missus Hollow,28,theodolite,clear,365,False,none,0.0,0.76,Mostly firm ground with soft patches
OBS0054,1846-06-11,1846,6,summer,45.96,70.82,0.651,0.664,0.0132,MAP011,Old Tunney,40,theodolite,overcast,245,False,none,0.0,0.84,Mostly firm ground with soft patches
OBS0055,1846-06-14,1846,6,summer,31.47,65.45,0.395,0.359,-0.0356,MAP015,Missus Hollow,28,theodolite,overcast,365,False,none,0.0,0.53,"Soft ground, footprints sink deep"
OBS0056,1846-07-28,1846,7,summer,26.94,17.48,1.0,0.947,-0.0527,MAP011,Old Tunney,40,theodolite,fog,365,False,none,0.0,0.38,"Solid ground, safe for building; visibility poor"
OBS0057,1846-07-14,1846,7,summer,74.49,62.65,0.814,0.808,-0.006,MAP011,Old Tunney,40,theodolite,fog,365,False,none,0.0,0.4,"Solid ground, safe for building; visibility poor"
OBS0058,1846-07-20,1846,7,summer,32.07,22.76,1.0,0.982,-0.0176,MAP010,Pennick Harvor,7,measuring_rod,clear,305,False,none,0.0,0.55,"Solid ground, safe for building"
OBS0059,1846-08-12,1846,8,summer,31.73,75.44,1.0,0.948,-0.0525,MAP004,The Pickbox Man,35,theodolite,overcast,210,False,none,0.0,0.7,"Solid ground, safe for building"
OBS0060,1846-08-11,1846,8,summer,66.8,41.92,0.407,0.454,0.0475,MAP003,Corra Venst,15,theodolite,clear,365,False,none,0.0,0.62,"Transition zone, patchy stability"
OBS0061,1846-08-22,1846,8,summer,34.82,48.02,0.142,0.382,0.2396,MAP009,Marga Denside,18,theodolite,fog,365,False,none,0.0,0.19,"Soft ground, footprints sink deep; visibility poor"
OBS0062,1846-09-17,1846,9,autumn,46.64,21.05,0.859,0.819,-0.0403,MAP007,Sister Kalma,12,theodolite,rain,365,False,none,0.0,0.24,"Solid ground, safe for building; rain affecting measurements"
OBS0063,1846-09-22,1846,9,autumn,25.65,46.44,0.787,0.813,0.0261,MAP010,Pennick Harvor,7,measuring_rod,clear,365,False,none,0.0,0.66,"Solid ground, safe for building"
OBS0064,1846-10-01,1846,10,autumn,46.67,21.19,0.853,0.855,0.0017,MAP011,Old Tunney,40,theodolite,clear,30,False,none,0.0,0.95,"Solid ground, safe for building"
OBS0065,1846-10-08,1846,10,autumn,60.1,56.81,0.0,0.001,0.0011,MAP009,Marga Denside,18,theodolite,clear,605,False,none,0.0,0.61,"Ground feels unsafe, densmuck visible"
OBS0066,1846-10-24,1846,10,autumn,60.8,75.28,0.802,0.836,0.0345,MAP015,Missus Hollow,28,theodolite,overcast,365,False,none,0.0,0.68,"Solid ground, safe for building"
OBS0067,1846-11-18,1846,11,autumn,77.27,50.84,0.701,0.712,0.0106,MAP011,Old Tunney,40,theodolite,overcast,365,False,none,0.0,0.79,Mostly firm ground with soft patches
OBS0068,1846-11-20,1846,11,autumn,30.57,36.19,0.599,0.582,-0.0172,MAP004,The Pickbox Man,35,theodolite,rain,365,False,none,0.0,0.47,"Transition zone, patchy stability; rain affecting measurements"
OBS0069,1846-11-24,1846,11,autumn,87.44,54.79,1.0,0.932,-0.0685,MAP005,Ulla Grent,8,measuring_rod,rain,365,False,none,0.0,0.34,"Solid ground, safe for building; rain affecting measurements"
OBS0070,1846-11-13,1846,11,autumn,77.35,51.21,0.704,0.719,0.0154,MAP007,Sister Kalma,12,theodolite,clear,365,False,none,0.0,0.53,Mostly firm ground with soft patches
OBS0071,1846-11-23,1846,11,autumn,76.19,66.27,0.917,0.173,-0.7433,MAP013,Karvo the Silent,6,pacing,fog,335,False,none,0.0,0.23,"Ground feels unsafe, densmuck visible; visibility poor"
OBS0072,1846-12-12,1846,12,winter,62.03,36.19,0.269,0.276,0.0074,MAP004,The Pickbox Man,35,theodolite,clear,240,True,S,1.9,0.9,"Soft ground, footprints sink deep; boundary appears to have shifted since last survey"
OBS0073,1846-12-02,1846,12,winter,44.13,79.5,1.0,1.0,0.0,MAP015,Missus Hollow,28,theodolite,clear,365,False,none,0.0,0.66,"Solid ground, safe for building"
OBS0074,1846-12-04,1846,12,winter,60.69,75.48,0.789,0.748,-0.0406,MAP011,Old Tunney,40,theodolite,clear,60,False,none,0.0,0.86,Mostly firm ground with soft patches
OBS0075,1846-12-15,1846,12,winter,73.18,52.4,0.365,0.306,-0.0585,MAP015,Missus Hollow,28,theodolite,clear,575,True,W,3.8,0.77,"Soft ground, footprints sink deep; boundary appears to have shifted since last survey"
OBS0076,1846-12-02,1846,12,winter,63.95,41.05,0.265,0.481,0.2161,MAP013,Karvo the Silent,6,pacing,fog,365,False,none,0.0,0.17,"Transition zone, patchy stability; visibility poor"
OBS0077,1847-01-17,1847,1,winter,42.06,31.43,0.313,0.422,0.1095,MAP010,Pennick Harvor,7,measuring_rod,clear,365,False,none,0.0,0.54,"Transition zone, patchy stability"
OBS0078,1847-02-09,1847,2,winter,38.81,68.51,0.362,0.406,0.0434,MAP011,Old Tunney,40,theodolite,overcast,335,False,none,0.0,0.8,"Transition zone, patchy stability"
OBS0079,1847-02-07,1847,2,winter,44.2,79.46,1.0,0.653,-0.3475,MAP010,Pennick Harvor,7,measuring_rod,fog,65,False,none,0.0,0.36,Mostly firm ground with soft patches; visibility poor
OBS0080,1847-02-20,1847,2,winter,26.93,47.87,0.602,0.641,0.0395,MAP004,The Pickbox Man,35,theodolite,clear,365,False,none,0.0,0.83,Mostly firm ground with soft patches
OBS0081,1847-03-23,1847,3,spring,74.71,62.26,0.718,0.0,-0.7181,MAP008,Hoff the Younger,2,pacing,rain,245,True,W,4.8,0.35,"Ground feels unsafe, densmuck visible; rain affecting measurements; boundary appears to have shifted since last survey"
OBS0082,1847-03-13,1847,3,spring,13.55,51.75,1.0,1.0,0.0,MAP009,Marga Denside,18,theodolite,overcast,365,False,none,0.0,0.65,"Solid ground, safe for building"
OBS0083,1847-03-27,1847,3,spring,14.67,56.33,1.0,1.0,0.0,MAP007,Sister Kalma,12,theodolite,fog,580,False,none,0.0,0.24,"Solid ground, safe for building; visibility poor"
OBS0084,1847-04-17,1847,4,spring,75.95,29.95,1.0,1.0,0.0,MAP001,Ferrick Mol,22,theodolite,clear,425,False,none,0.0,0.73,"Solid ground, safe for building"
OBS0085,1847-04-21,1847,4,spring,71.42,58.22,0.32,0.0,-0.3197,MAP013,Karvo the Silent,6,pacing,overcast,365,False,none,0.0,0.5,"Ground feels unsafe, densmuck visible"
